Vendedor,Producto,Cantidad,Precio,Fecha
Ana Torres,Curso Python,3,$29.99,2026-01-05
Carlos Rios,Curso IA,1,$49.99,2026-01-07
Maria Lopez,Curso Python,2,$29.99,2026-01-08
Ana Torres,Curso ML,1,$39.99,2026-01-10
Pedro Salas,Curso Python,4,$29.99,2026-01-12
Carlos Rios,Curso Python,2,$29.99,2026-01-15
Maria Lopez,Curso IA,1,$49.99,2026-01-18
Pedro Salas,Curso ML,2,$39.99,2026-01-20
Ana Torres,Curso IA,2,$49.99,2026-01-22
Carlos Rios,Curso ML,3,$39.99,2026-01-25
Maria Lopez,Curso Python,1,$29.99,2026-01-28
Pedro Salas,Curso IA,1,$49.99,2026-02-01
Ana Torres,Curso Python,2,$29.99,2026-02-03
Carlos Rios,Curso Python,3,$29.99,2026-02-06
Maria Lopez,Curso ML,2,$39.99,2026-02-08
Pedro Salas,Curso Python,1,$29.99,2026-02-10
Ana Torres,Curso ML,3,$39.99,2026-02-12
Carlos Rios,Curso IA,2,$49.99,2026-02-15
Maria Lopez,Curso Python,4,$29.99,2026-02-18
Pedro Salas,Curso ML,1,$39.99,2026-02-20
Ana Torres,Curso IA,1,$49.99,2026-02-22
Carlos Rios,Curso Python,2,$29.99,2026-02-25
Maria Lopez,Curso IA,3,$49.99,2026-02-28
Pedro Salas,Curso Python,2,$29.99,2026-03-02
Ana Torres,Curso Python,1,$29.99,2026-03-05
Carlos Rios,Curso ML,1,$39.99,2026-03-07
Maria Lopez,Curso ML,3,$39.99,2026-03-10
Pedro Salas,Curso IA,2,$49.99,2026-03-12
Ana Torres,Curso ML,2,$39.99,2026-03-15
Carlos Rios,Curso IA,1,$49.99,2026-03-18
